moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Badalkumbura,24.06333806879646,28.811732732511718,7.41148415393404,75.87825928285831,9.399612188763575,17.276199846119685
MOH-Baddegama,28.185600975776843,28.868770247301633,5.234676658216319,82.72098428866198,1.6149323221976648,22.065054829872523
MOH-Badulla,23.79770346879055,28.198104968318287,2.435924163722106,70.92815519186004,8.725672281693546,15.967160174127798
MOH-Bakamuna (Elahera),28.142568572747876,34.41988893715306,0.673746667188713,71.94728227968807,12.397970835318137,19.154623292477226
MOH-Balangoda,27.374118441088097,33.121311542636604,28.246641612946515,72.67524475852363,11.366361391853086,18.820672727266853
MOH-Bambaradeniya,27.10124474524554,34.262860962985386,0.984719166576959,68.59873640721155,14.089656279193493,17.584745345103254
MOH-Balapitiya,28.451336118780482,28.94019200400004,4.923704158828073,80.68273011300595,1.2435914334020786,21.72286216302368
MOH-Bamunakotuwa,30.016991679451177,36.74584083186966,0.881061666780877,68.74436966806218,13.291903983481742,19.518245423586084
MOH-Bandarawela,20.774174441017042,25.472490907797052,1.295691665965205,66.70611549240613,9.26203217059171,13.105599451153534
MOH-Bandaragama,28.55187911651171,29.510966714174426,3.9907866606633355,79.5179697643273,2.151292211095827,21.48403514731138
MOH-Battaramulla,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Beliatta,29.047455552328938,34.562532669412256,17.258946634561827,77.77088019766373,10.9400462620665,21.37533637158524
MOH-Beruwala,28.451336118780482,28.94019200400004,4.923704158828073,80.68273011300595,1.2435914334020786,21.72286216302368
MOH-Batticoloa,29.169514751574646,33.72065495549036,0.05180166841222127,75.7326260220077,9.083245540958988,20.901076146717664
MOH-Bibile,27.654231232767298,33.592195684002036,1.295691665965205,75.87825928285831,11.737798557778254,19.853650477320894
MOH-Bingiriya,29.241302451954745,33.9631892565585,1.088376666373041,77.04291771882816,9.41337981829372,21.316090205689907
MOH-Biyagama,29.025939350814454,30.966472192289757,6.582224155565385,77.77088019766373,4.049299543664192,21.35953092961971
MOH-Bogawanthalawa,25.212443989866674,29.4538293088157,20.472329128240368,74.71349893417967,8.436840892949247,17.822311804094372
MOH-Bope Poddala,29.564548189660645,33.06417413727788,12.594359143738139,78.64447593734991,7.061425819748899,22.000766437092476
MOH-Boralesgamuwa,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Bulathkohupitiya,29.9092095858833,36.588912748270786,3.5761566614790077,72.38408014953116,13.195626853900308,20.480922894959082
MOH-Buttala,27.10124474524554,32.222296423355985,6.063936656584975,66.41495088341365,10.156061595884893,17.02311884286792
MOH-Bulathsinhala,29.67946883606744,34.662423238221216,2.435924163722106,77.77088019766373,9.922204448131595,21.840287869896432
MOH-Chankanai Walikamam West,28.027647926341082,28.754595327152995,0.05180166841222127,78.06204480665619,1.697441822248953,20.702489980181415
MOH-Chavakachchari,27.962998778799903,31.651421822612786,0.05180166841222127,78.49884267649928,7.405327726613776,20.77065700902662
MOH-Cheddikulam,28.752965111974166,35.41879462524265,0.05180166841222127,74.13116971619473,13.154420242439455,20.165783714664737
MOH-Chenkalady,29.169514751574646,33.72065495549036,0.05180166841222127,75.7326260220077,9.083245540958988,20.901076146717664
MOH-D1-CMC,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Chilaw,28.099435626721178,29.182726305068186,2.954211662702516,80.10029898231224,2.385149358849127,21.298927241101566
MOH-D2A-CMC,28.458575214617127,29.025798221469316,6.063936656584975,80.10029898231224,1.3948428039745095,21.571013561072622
MOH-D2B-CMC,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-D3-CMC,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-D4-CMC,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-D5-CMC,28.52322436215831,29.09712008759891,6.063936656584975,80.10029898231224,1.4086104335046543,21.62007830729691
MOH-Damana,29.09772705119455,34.22010779953515,0.5700891673926312,76.89738637068633,10.183596854945185,21.17122314865614
MOH-Dambulla,29.471143744768334,35.98956933541704,0.15545916820830322,70.20019271302449,12.879356483225301,19.570413078662504
MOH-Dambulla MC,29.471143744768334,35.98956933541704,0.15545916820830322,70.20019271302449,12.879356483225301,19.570413078662504
