Province,District,moh_area,week,cases,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index,week_sin,week_cos,moh_area_encoded,cases_log1p
Western Province,Colombo RDHS,MOH-Rathmalana,8,4,0.8280987646046255,0.6243903752525737,-0.9945706916619897,-0.3642141772978096,0.3999319225457833,0.4625165297320298,1.1695985146788481,0.7709197310375071,286,1.6094379124341003
Western Province,Colombo RDHS,MOH-Rathmalana,9,10,1.2407252349388513,1.3088027433055063,-0.9067171524704238,-1.3397551778591823,0.9840427314255508,-0.4046603365523012,1.2587326513445722,0.625988191986917,286,2.3978952727983707
Western Province,Colombo RDHS,MOH-Rathmalana,10,3,0.8072553308348233,0.6053789205844363,-1.0604607606425485,-0.7038470934935299,0.5459572475871562,0.006746682140941633,1.3294442639274229,0.47155264587569584,286,1.3862943611198906
Western Province,Colombo RDHS,MOH-Rathmalana,11,7,1.0588767069491165,0.7194514508841922,-1.0140937383326114,-0.8539956829584315,0.4067306532486923,0.059415055464847766,1.3807022178872577,0.3098651107247097,286,2.0794415416798357
Western Province,Colombo RDHS,MOH-Rathmalana,12,4,0.898323650973477,0.7140179771400377,-0.37715583543310566,-0.5350142717861999,0.21315700250116426,0.31404006071109,1.4117590568324823,0.14328335488507926,286,1.6094379124341003
Western Province,Colombo RDHS,MOH-Rathmalana,13,5,1.1174231107648678,0.8117900862073352,-0.5601840136111628,-0.49192169602659713,0.3829541132170498,0.5900131023435096,1.4221619021173642,-0.025763484533606256,286,1.791759469228055
Western Province,Colombo RDHS,MOH-Rathmalana,14,4,1.1523145022803798,0.8552464692877616,-0.6602393288521936,-0.3940439747387979,0.14184164547763775,0.7534770403624235,1.4117590568324823,-0.19481032395229114,286,1.6094379124341003
Western Province,Colombo RDHS,MOH-Rathmalana,15,3,0.9670682362785987,0.8090752504807227,0.9943352037190135,-0.09249451631110076,0.26070057385018136,0.9556697990161678,1.3807022178872579,-0.36139207979192095,286,1.3862943611198906
Western Province,Colombo RDHS,MOH-Rathmalana,16,4,0.8978815476356514,0.450572447512731,-0.020861173238533846,0.39493098235625107,-0.313216893332354,1.5112231285908946,1.3294442639274229,-0.5230796149429078,286,1.6094379124341003
Western Province,Colombo RDHS,MOH-Rathmalana,17,6,1.0161516416836078,0.5836526301896893,-0.39179820584918756,0.382609496165765,-0.17398554463675536,1.6239287877622761,1.2587326513445722,-0.677515161054129,286,1.9459101490553132
